group,confidence,name,kind,type,class,tier,itemHash,currentSourceText
A. Non-source note,Likely obtainable (review),Etude-12,Weapon,Submachine Gun,,2,772531208,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Eutechnology Bond,Armor,Warlock Bond,Warlock,5,4078840342,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Eutechnology Boots,Armor,Leg Armor,Warlock,5,1683071779,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Eutechnology Cloak,Armor,Hunter Cloak,Hunter,5,1936503321,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Eutechnology Cover,Armor,Helmet,Warlock,5,4285848704,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Eutechnology Cowl,Armor,Helmet,Hunter,5,1152238701,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Eutechnology Gauntlets,Armor,Gauntlets,Titan,5,591555944,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Eutechnology Gloves,Armor,Gauntlets,Warlock,5,1851922001,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Eutechnology Greaves,Armor,Leg Armor,Titan,5,1692895170,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Eutechnology Helm,Armor,Helmet,Titan,5,1975004305,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Eutechnology Mark,Armor,Titan Mark,Titan,5,4038196765,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Eutechnology Plate,Armor,Chest Armor,Titan,5,433193440,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Eutechnology Robes,Armor,Chest Armor,Warlock,5,2897411591,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Eutechnology Sleeves,Armor,Gauntlets,Hunter,5,2270938588,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Eutechnology Strides,Armor,Leg Armor,Hunter,5,1232186726,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Eutechnology Vest,Armor,Chest Armor,Hunter,5,726639044,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Evening SI4,Weapon,Sidearm,,5,1763361847,Random Perks: This item cannot be reacquired from Collections.
C. No collectible,Not ruled out (review),Evening SI4,Weapon,Sidearm,,5,3618823368,
A. Non-source note,Likely obtainable (review),Exitus Mk.I,Weapon,Machine Gun,,4,3117873459,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Fare-Thee-Well,Weapon,Scout Rifle,,3,3361694401,Source: Earned while leveling.
A. Non-source note,Likely NOT obtainable,Farseeker's Casque,Armor,Helmet,Warlock,4,1232004606,Source: Earned while leveling.
C. No collectible,Likely NOT obtainable,Farseeker's Casque,Armor,Helmet,Warlock,4,40512774,
C. No collectible,Not ruled out (review),Farseeker's Casque,Armor,Helmet,Warlock,4,2854973517,
C. No collectible,Not ruled out (review),Farseeker's Casque,Armor,Helmet,Warlock,4,1328755281,
A. Non-source note,Likely NOT obtainable,Farseeker's Intuition,Armor,Chest Armor,Warlock,4,1576992137,Source: Earned while leveling.
C. No collectible,Likely NOT obtainable,Farseeker's Intuition,Armor,Chest Armor,Warlock,4,721208609,
C. No collectible,Not ruled out (review),Farseeker's Intuition,Armor,Chest Armor,Warlock,4,3061532064,
C. No collectible,Not ruled out (review),Farseeker's Intuition,Armor,Chest Armor,Warlock,4,3958133156,
A. Non-source note,Likely NOT obtainable,Farseeker's March,Armor,Leg Armor,Warlock,4,610443345,Source: Earned while leveling.
C. No collectible,Likely NOT obtainable,Farseeker's March,Armor,Leg Armor,Warlock,4,863007481,
C. No collectible,Not ruled out (review),Farseeker's March,Armor,Leg Armor,Warlock,4,2893448006,
C. No collectible,Not ruled out (review),Farseeker's March,Armor,Leg Armor,Warlock,4,622291842,
A. Non-source note,Likely NOT obtainable,Farseeker's Reach,Armor,Gauntlets,Warlock,4,460400687,Source: Earned while leveling.
C. No collectible,Likely NOT obtainable,Farseeker's Reach,Armor,Gauntlets,Warlock,4,3349439959,
C. No collectible,Not ruled out (review),Farseeker's Reach,Armor,Gauntlets,Warlock,4,3507639356,
C. No collectible,Not ruled out (review),Farseeker's Reach,Armor,Gauntlets,Warlock,4,4281850920,
A. Non-source note,Likely obtainable (review),Fatum Praevaricator,Armor,Warlock Bond,Warlock,4,2521855144,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Fatum Praevaricator,Armor,Warlock Bond,Warlock,4,2742930797,
C. No collectible,Not ruled out (review),Fatum Praevaricator,Armor,Warlock Bond,Warlock,4,2813695893,
C. No collectible,Not ruled out (review),Fatum Praevaricator,Armor,Warlock Bond,Warlock,4,3508205736,
A. Non-source note,Likely obtainable (review),Ferropotent Bond,Armor,Warlock Bond,Warlock,5,1057430865,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Ferropotent Boots,Armor,Leg Armor,Warlock,5,1248547982,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Ferropotent Cloak,Armor,Hunter Cloak,Hunter,5,293267476,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Ferropotent Cover,Armor,Helmet,Warlock,5,1066619413,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Ferropotent Cuirass,Armor,Chest Armor,Hunter,5,2849508185,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Ferropotent Gauntlets,Armor,Gauntlets,Titan,5,2370945771,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Ferropotent Gloves,Armor,Gauntlets,Warlock,5,4037429988,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Ferropotent Greaves,Armor,Leg Armor,Titan,5,3462703357,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Ferropotent Grips,Armor,Gauntlets,Hunter,5,4199055647,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Ferropotent Head,Armor,Helmet,Titan,5,3031404418,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Ferropotent Mark,Armor,Titan Mark,Titan,5,2676446840,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Ferropotent Mask,Armor,Helmet,Hunter,5,3173749166,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Ferropotent Plate,Armor,Chest Armor,Titan,5,3554497829,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Ferropotent Robes,Armor,Chest Armor,Warlock,5,4066564572,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Ferropotent Strides,Armor,Leg Armor,Hunter,5,3120202721,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Fieldplate Type 10,Armor,Chest Armor,Titan,3,3450293405,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Fieldplate Type 10,Armor,Gauntlets,Titan,3,3260789875,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Fieldplate Type 10,Armor,Helmet,Titan,3,3255228714,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Fieldplate Type 10,Armor,Leg Armor,Titan,3,2995743813,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Fieldplate Type 10,Armor,Chest Armor,Titan,3,846463017,
C. No collectible,Not ruled out (review),Fieldplate Type 10,Armor,Gauntlets,Titan,3,203317967,
C. No collectible,Not ruled out (review),Fieldplate Type 10,Armor,Helmet,Titan,3,933345182,
C. No collectible,Not ruled out (review),Fieldplate Type 10,Armor,Leg Armor,Titan,3,777818225,
A. Non-source note,Likely obtainable (review),Firebreak Field,Armor,Chest Armor,Titan,3,3503564556,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Firebreak Field,Armor,Gauntlets,Titan,3,3862303220,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Firebreak Field,Armor,Helmet,Titan,3,3123203109,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Firebreak Field,Armor,Leg Armor,Titan,3,4150041854,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Firebreak Field,Armor,Chest Armor,Titan,3,3523134386,
C. No collectible,Not ruled out (review),Firebreak Field,Armor,Gauntlets,Titan,3,516502270,
C. No collectible,Not ruled out (review),Firebreak Field,Armor,Helmet,Titan,3,1443091319,
C. No collectible,Not ruled out (review),Firebreak Field,Armor,Leg Armor,Titan,3,1360445272,
C. No collectible,Not ruled out (review),Flowing Boots,Armor,Leg Armor,Hunter,5,2158289680,
C. No collectible,Not ruled out (review),Flowing Boots,Armor,Leg Armor,Hunter,5,854160040,
C. No collectible,Not ruled out (review),Flowing Cowl,Armor,Helmet,Hunter,5,3127319343,
C. No collectible,Not ruled out (review),Flowing Cowl,Armor,Helmet,Hunter,5,400025383,
C. No collectible,Not ruled out (review),Flowing Grips,Armor,Gauntlets,Hunter,5,2641591726,
C. No collectible,Not ruled out (review),Flowing Grips,Armor,Gauntlets,Hunter,5,945907382,
C. No collectible,Not ruled out (review),Flowing Vest,Armor,Chest Armor,Hunter,5,548290754,
C. No collectible,Not ruled out (review),Flowing Vest,Armor,Chest Armor,Hunter,5,773318266,
A. Non-source note,Likely obtainable (review),Forte-15,Weapon,Submachine Gun,,3,531591352,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Fortress Field,Armor,Chest Armor,Titan,3,702133035,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Fortress Field,Armor,Gauntlets,Titan,3,3043014325,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Fortress Field,Armor,Helmet,Titan,3,1688240188,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Fortress Field,Armor,Leg Armor,Titan,3,324169111,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Fortress Field,Armor,Chest Armor,Titan,3,226227391,
C. No collectible,Not ruled out (review),Fortress Field,Armor,Gauntlets,Titan,3,627055961,
C. No collectible,Not ruled out (review),Fortress Field,Armor,Helmet,Titan,3,1279721672,
C. No collectible,Not ruled out (review),Fortress Field,Armor,Leg Armor,Titan,3,3519241547,
A. Non-source note,Likely obtainable (review),Frumious Mask,Armor,Helmet,Hunter,5,477057676,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Frumious Mask,Armor,Helmet,Hunter,5,4248632159,
C. No collectible,Not ruled out (review),Frumious Mask,Armor,Helmet,Hunter,5,558125905,
A. Non-source note,Likely obtainable (review),Furina-2mg,Weapon,Submachine Gun,,4,3383958217,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Furina-2mg,Weapon,Submachine Gun,,4,1281822858,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Fussed Dark Mk.21,Weapon,Shotgun,,4,1457394908,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Fussed Dark Mk.21,Weapon,Shotgun,,4,1995011459,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Future Imperfect,Weapon,Sword,,4,2891976012,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Future Imperfect,Weapon,Sword,,4,1447973651,Source: Earned while leveling.
C. No collectible,Likely NOT obtainable,Gauntlets,Armor,Gauntlets,Hunter,2,2899766705,
C. No collectible,Likely NOT obtainable,Gauntlets,Armor,Gauntlets,Titan,2,765924941,
C. No collectible,Likely NOT obtainable,Gauntlets,Armor,Gauntlets,Warlock,2,673268892,
A. Non-source note,Likely obtainable (review),Gumshoe Gumption Cloak,Armor,Hunter Cloak,Hunter,4,2282780740,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Gumshoe Gumption Grips,Armor,Gauntlets,Hunter,4,2120302383,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Gumshoe Gumption Mask,Armor,Helmet,Hunter,4,2891906302,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Gumshoe Gumption Strides,Armor,Leg Armor,Hunter,4,2270345041,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Gumshoe Gumption Vest,Armor,Chest Armor,Hunter,4,502477449,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Hadrian-A,Weapon,Grenade Launcher,,3,3246523828,Source: Earned while leveling.
A. Non-source note,Likely NOT obtainable,Hardcase Battleplate,Armor,Chest Armor,Titan,4,3152414792,Source: Earned while leveling.
C. No collectible,Likely NOT obtainable,Hardcase Battleplate,Armor,Chest Armor,Titan,4,280187206,
C. No collectible,Not ruled out (review),Hardcase Battleplate,Armor,Chest Armor,Titan,4,3885104741,
C. No collectible,Not ruled out (review),Hardcase Battleplate,Armor,Chest Armor,Titan,4,201644247,
A. Non-source note,Likely NOT obtainable,Hardcase Brawlers,Armor,Gauntlets,Titan,4,2252742528,Source: Earned while leveling.
C. No collectible,Likely NOT obtainable,Hardcase Brawlers,Armor,Gauntlets,Titan,4,3763392098,
C. No collectible,Not ruled out (review),Hardcase Brawlers,Armor,Gauntlets,Titan,4,3302420523,
C. No collectible,Not ruled out (review),Hardcase Brawlers,Armor,Gauntlets,Titan,4,867963905,
A. Non-source note,Likely NOT obtainable,Hardcase Helm,Armor,Helmet,Titan,4,549246985,Source: Earned while leveling.
C. No collectible,Likely NOT obtainable,Hardcase Helm,Armor,Helmet,Titan,4,1933944659,
C. No collectible,Not ruled out (review),Hardcase Helm,Armor,Helmet,Titan,4,3962776002,
C. No collectible,Not ruled out (review),Hardcase Helm,Armor,Helmet,Titan,4,1070180272,
A. Non-source note,Likely NOT obtainable,Hardcase Stompers,Armor,Leg Armor,Titan,4,1330563002,Source: Earned while leveling.
C. No collectible,Likely NOT obtainable,Hardcase Stompers,Armor,Leg Armor,Titan,4,1512570524,
C. No collectible,Not ruled out (review),Hardcase Stompers,Armor,Leg Armor,Titan,4,2362809459,
C. No collectible,Not ruled out (review),Hardcase Stompers,Armor,Leg Armor,Titan,4,482091581,
A. Non-source note,Likely obtainable (review),Harmony-21,Weapon,Submachine Gun,,4,3383958216,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Harmony-21,Weapon,Submachine Gun,,4,1281822859,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Headstrong,Weapon,Hand Cannon,,2,2553946496,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Helios HC1,Weapon,Hand Cannon,,2,2553946497,Source: Earned while leveling.
C. No collectible,Likely NOT obtainable,Helmet,Armor,Helmet,Hunter,2,997252576,
C. No collectible,Likely NOT obtainable,Helmet,Armor,Helmet,Titan,2,2359657268,
C. No collectible,Likely NOT obtainable,Helmet,Armor,Helmet,Warlock,2,20603181,
C. No collectible,Not ruled out (review),Holeshot Cloak,Armor,Hunter Cloak,Hunter,5,2751794832,
C. No collectible,Not ruled out (review),Holeshot Cloak,Armor,Hunter Cloak,Hunter,5,3002815195,
A. Non-source note,Likely obtainable (review),Holless-IV,Weapon,Combat Bow,,4,3651075426,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Home Again,Weapon,Auto Rifle,,3,2694044460,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Homeward,Armor,Warlock Bond,Warlock,3,352016976,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Homeward,Armor,Warlock Bond,Warlock,3,612495088,
A. Non-source note,Likely obtainable (review),Hood of Tallies,Armor,Hunter Cloak,Hunter,3,716764559,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Hood of Tallies,Armor,Hunter Cloak,Hunter,3,3544884935,
C. No collectible,Not ruled out (review),Hunter Cloak,Armor,Hunter Cloak,Hunter,2,1364005110,
A. Non-source note,Likely obtainable (review),Inspector's Bond,Armor,Warlock Bond,Warlock,4,3135586957,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Inspector's Boots,Armor,Leg Armor,Warlock,4,3004363890,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Inspector's Gloves,Armor,Gauntlets,Warlock,4,674128952,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Inspector's Hood,Armor,Helmet,Warlock,4,4172753441,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Inspector's Robes,Armor,Chest Armor,Warlock,4,3783871056,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Inverness-SR2,Weapon,Scout Rifle,,3,3361694403,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),IRONWOOD 03,Weapon,Hand Cannon,,5,2041617874,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Jiangshi AR1,Weapon,Auto Rifle,,3,2694044463,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Judgement's Wrap,Armor,Warlock Bond,Warlock,5,3149072082,
C. No collectible,Not ruled out (review),Judgement's Wrap,Armor,Warlock Bond,Warlock,5,1607431126,
C. No collectible,Not ruled out (review),Judgment (Adept),Weapon,Hand Cannon,,5,3329218848,
C. No collectible,Not ruled out (review),Judgment (Adept),Weapon,Hand Cannon,,5,1987644603,
A. Non-source note,Likely obtainable (review),Kit Fox 1.1,Armor,Leg Armor,Hunter,3,2447779891,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Kit Fox 1.1,Armor,Leg Armor,Hunter,3,3352069677,
A. Non-source note,Likely obtainable (review),Kit Fox 1.4,Armor,Chest Armor,Hunter,3,1117103511,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Kit Fox 1.4,Armor,Chest Armor,Hunter,3,3877365781,
A. Non-source note,Likely obtainable (review),Kit Fox 1.5,Armor,Helmet,Hunter,3,1621184880,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Kit Fox 1.5,Armor,Helmet,Hunter,3,182285650,
A. Non-source note,Likely obtainable (review),Kit Fox 2.1,Armor,Gauntlets,Hunter,3,1377391809,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Kit Fox 2.1,Armor,Gauntlets,Hunter,3,648638907,
A. Non-source note,Likely obtainable (review),Lamia HC2,Weapon,Hand Cannon,,4,2591586262,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Lamia HC2,Weapon,Hand Cannon,,4,653875713,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Last Discipline Bond,Armor,Warlock Bond,Warlock,5,420604757,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Last Discipline Boots,Armor,Leg Armor,Warlock,5,2762558442,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Last Discipline Cloak,Armor,Hunter Cloak,Hunter,5,1109145282,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Last Discipline Gauntlets,Armor,Gauntlets,Titan,5,4079706495,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Last Discipline Gloves,Armor,Gauntlets,Warlock,5,2403923088,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Last Discipline Grasps,Armor,Gauntlets,Hunter,5,1172384181,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Last Discipline Greaves,Armor,Leg Armor,Titan,5,3000956609,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Last Discipline Helm,Armor,Helmet,Titan,5,2629942414,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Last Discipline Hood,Armor,Helmet,Warlock,5,2932138009,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Last Discipline Mark,Armor,Titan Mark,Titan,5,2773786868,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Last Discipline Mask,Armor,Helmet,Hunter,5,4112577340,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Last Discipline Plate,Armor,Chest Armor,Titan,5,1459620921,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Last Discipline Strides,Armor,Leg Armor,Hunter,5,2748506263,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Last Discipline Vest,Armor,Chest Armor,Hunter,5,2752429099,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Last Discipline Vestment,Armor,Chest Armor,Warlock,5,2025110456,Random Perks: This item cannot be reacquired from Collections.
C. No collectible,Likely NOT obtainable,Leg Armor,Armor,Leg Armor,Hunter,2,2731019523,
C. No collectible,Likely NOT obtainable,Leg Armor,Armor,Leg Armor,Titan,2,1436723983,
C. No collectible,Likely NOT obtainable,Leg Armor,Armor,Leg Armor,Warlock,2,3971164198,
A. Non-source note,Likely obtainable (review),Legion-Bane,Armor,Chest Armor,Titan,4,2840140116,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Legion-Bane,Armor,Gauntlets,Titan,4,1386133900,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Legion-Bane,Armor,Helmet,Titan,4,2923601949,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Legion-Bane,Armor,Leg Armor,Titan,4,2031866166,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Legion-Bane,Armor,Chest Armor,Titan,4,3183585337,
C. No collectible,Not ruled out (review),Legion-Bane,Armor,Chest Armor,Titan,4,3656549306,
C. No collectible,Not ruled out (review),Legion-Bane,Armor,Chest Armor,Titan,4,1775818231,
C. No collectible,Not ruled out (review),Legion-Bane,Armor,Gauntlets,Titan,4,2253044470,
C. No collectible,Not ruled out (review),Legion-Bane,Armor,Gauntlets,Titan,4,2815743359,
C. No collectible,Not ruled out (review),Legion-Bane,Armor,Gauntlets,Titan,4,3867725217,
C. No collectible,Not ruled out (review),Legion-Bane,Armor,Helmet,Titan,4,3968319087,
C. No collectible,Not ruled out (review),Legion-Bane,Armor,Helmet,Titan,4,4069941456,
C. No collectible,Not ruled out (review),Legion-Bane,Armor,Helmet,Titan,4,1365979278,
C. No collectible,Not ruled out (review),Legion-Bane,Armor,Leg Armor,Titan,4,3465323600,
C. No collectible,Not ruled out (review),Legion-Bane,Armor,Leg Armor,Titan,4,643145875,
C. No collectible,Not ruled out (review),Legion-Bane,Armor,Leg Armor,Titan,4,1736993473,
A. Non-source note,Likely obtainable (review),Lost and Found,Weapon,Pulse Rifle,,2,3569842567,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Luminopotent Bond,Armor,Warlock Bond,Warlock,5,1924898304,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Luminopotent Boots,Armor,Leg Armor,Warlock,5,1829877749,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Luminopotent Cloak,Armor,Hunter Cloak,Hunter,5,2107326067,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Luminopotent Cover,Armor,Helmet,Warlock,5,1966593658,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Luminopotent Cuirass,Armor,Chest Armor,Hunter,5,2883433250,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Luminopotent Gauntlets,Armor,Gauntlets,Titan,5,3654657240,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Luminopotent Gloves,Armor,Gauntlets,Warlock,5,3737830979,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Luminopotent Greaves,Armor,Leg Armor,Titan,5,1689821714,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Luminopotent Grips,Armor,Gauntlets,Hunter,5,2835120910,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Luminopotent Helm,Armor,Helmet,Titan,5,2816737729,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Luminopotent Mark,Armor,Titan Mark,Titan,5,2192886829,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Luminopotent Mask,Armor,Helmet,Hunter,5,593554567,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Luminopotent Plate,Armor,Chest Armor,Titan,5,3307308272,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Luminopotent Robes,Armor,Chest Armor,Warlock,5,3345056013,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Luminopotent Strides,Armor,Leg Armor,Hunter,5,1047792392,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Luna Nullis II,Weapon,Sniper Rifle,,3,2605790033,Source: Earned while leveling.
C. No collectible,Likely NOT obtainable,Lustrous Bond (Unkindled),Armor,Warlock Bond,Warlock,5,4180444323,
C. No collectible,Likely NOT obtainable,Lustrous Boots (Unkindled),Armor,Leg Armor,Warlock,5,1977129966,
C. No collectible,Likely NOT obtainable,Lustrous Casque (Unkindled),Armor,Helmet,Hunter,5,3755408274,
C. No collectible,Likely NOT obtainable,Lustrous Cloak (Unkindled),Armor,Hunter Cloak,Hunter,5,1376512508,
C. No collectible,Likely NOT obtainable,Lustrous Cover (Unkindled),Armor,Helmet,Warlock,5,3607796223,
C. No collectible,Likely NOT obtainable,Lustrous Gauntlets (Unkindled),Armor,Gauntlets,Titan,5,4261618303,
C. No collectible,Likely NOT obtainable,Lustrous Greaves (Unkindled),Armor,Leg Armor,Titan,5,3510701861,
C. No collectible,Likely NOT obtainable,Lustrous Grips (Unkindled),Armor,Gauntlets,Hunter,5,3268422857,
C. No collectible,Likely NOT obtainable,Lustrous Helm (Unkindled),Armor,Helmet,Titan,5,2488007584,
C. No collectible,Likely NOT obtainable,Lustrous Mark (Unkindled),Armor,Titan Mark,Titan,5,821031610,
C. No collectible,Likely NOT obtainable,Lustrous Plate (Unkindled),Armor,Chest Armor,Titan,5,2589289009,
C. No collectible,Likely NOT obtainable,Lustrous Robes (Unkindled),Armor,Chest Armor,Warlock,5,1133567616,
C. No collectible,Likely NOT obtainable,Lustrous Sleeves (Unkindled),Armor,Gauntlets,Warlock,5,3863829688,
C. No collectible,Likely NOT obtainable,Lustrous Strides (Unkindled),Armor,Leg Armor,Hunter,5,3130152719,
C. No collectible,Likely NOT obtainable,Lustrous Vest (Unkindled),Armor,Chest Armor,Hunter,5,861860247,
A. Non-source note,Likely obtainable (review),Madrugada SR2,Weapon,Scout Rifle,,4,3906357376,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Madrugada SR2,Weapon,Scout Rifle,,4,1650626967,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Makeshift Suit,Armor,Chest Armor,Hunter,3,2657403961,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Makeshift Suit,Armor,Gauntlets,Hunter,3,235325823,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Makeshift Suit,Armor,Helmet,Hunter,3,3080529038,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Makeshift Suit,Armor,Leg Armor,Hunter,3,3451543233,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Makeshift Suit,Armor,Chest Armor,Hunter,3,2363903643,
C. No collectible,Not ruled out (review),Makeshift Suit,Armor,Gauntlets,Hunter,3,648022469,
C. No collectible,Not ruled out (review),Makeshift Suit,Armor,Helmet,Hunter,3,1452147980,
C. No collectible,Not ruled out (review),Makeshift Suit,Armor,Leg Armor,Hunter,3,995248967,
C. No collectible,Not ruled out (review),Mark Judgment,Armor,Titan Mark,Titan,5,3624606677,
